,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
183733,1793,1641,4,974703937,M,25,4,20008,"Full Monty, The (1997)",Comedy,False
610833,73,70,5,977865460,M,18,4,53706,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,False
395992,4725,805,3,963382233,M,35,5,96707-1321,"Time to Kill, A (1996)",Drama,False
426021,2288,3869,2,974522733,M,1,10,13066,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy,False
282890,5630,2599,4,980383876,M,35,17,06854,Election (1999),Comedy,False
332740,1870,1569,3,974698408,M,56,13,85248,My Best Friend's Wedding (1997),Comedy|Romance,False
107912,1494,2858,5,974749234,M,25,17,38104,American Beauty (1999),Comedy|Drama,False
895864,1010,3478,2,975229894,M,25,0,10310,"Bamba, La (1987)",Drama,False
552720,4042,208,2,965506349,M,35,15,94002,Waterworld (1995),Action|Adventure,False
385173,4457,25,5,965077990,M,35,14,95492,Leaving Las Vegas (1995),Drama|Romance,False
818589,5625,3019,5,959088524,M,25,1,01760,Drugstore Cowboy (1989),Crime|Drama,False
436202,4800,802,3,962944608,M,18,4,80521,Phenomenon (1996),Drama|Romance,False
207740,453,3671,3,976236707,M,18,4,55102,Blazing Saddles (1974),Comedy|Western,False
582799,3261,952,2,968937924,M,45,20,87505,Around the World in 80 Days (1956),Adventure|Comedy,False
209431,5289,2871,4,961085299,M,45,2,94102,Deliverance (1972),Adventure|Thriller,False
125096,2887,2353,4,972140587,M,25,3,66205,Enemy of the State (1998),Action|Thriller,False
194407,3655,653,4,966452352,F,25,7,94121,Dragonheart (1996),Action|Adventure|Fantasy,False
348889,216,1997,4,976870414,M,45,13,52761,"Exorcist, The (1973)",Horror,False
510884,4408,2001,3,965171582,F,45,2,19033,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,False
542902,4458,3264,4,966200013,F,25,4,15701-2017,Buffy the Vampire Slayer (1992),Comedy|Horror,False
200071,2918,1266,5,971903717,M,25,12,98112,Unforgiven (1992),Western,False
529482,5824,2012,4,957898514,M,18,12,18052,Back to the Future Part III (1990),Comedy|Sci-Fi|Western,False
918397,660,254,3,975696598,M,45,16,70507,Jefferson in Paris (1995),Drama,False
583110,2926,60,3,1006658419,F,18,2,55118,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,False
196526,2337,1580,5,974423455,M,35,17,49424,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
582991,798,60,4,975406343,F,25,20,48464,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,False
592541,2771,141,4,973124026,M,18,1,92037,"Birdcage, The (1996)",Comedy,False
726620,2899,3258,4,971920118,M,35,14,94133,Death Becomes Her (1992),Comedy,False
708927,5703,1754,4,958575353,M,56,1,14068,Fallen (1998),Action|Mystery|Thriller,False
447236,2860,1278,5,972506094,M,35,17,20009,Young Frankenstein (1974),Comedy|Horror,False
248951,1354,3006,2,978298223,F,25,2,94040,"Insider, The (1999)",Drama,False
474958,3389,1375,3,967580938,M,18,0,13603,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,False
1896,1515,661,2,974865899,M,25,16,48324,James and the Giant Peach (1996),Animation|Children's|Musical,False
899312,4227,2851,1,965314380,M,25,19,11414-2520,Saturn 3 (1979),Adventure|Sci-Fi|Thriller,False
629325,4386,1779,3,965249178,M,25,5,74055,Sphere (1998),Adventure|Sci-Fi|Thriller,False
609776,1088,1487,3,1015684376,F,1,10,98103,Selena (1997),Drama|Musical,False
897014,3940,2750,3,965916890,M,35,20,32708,Radio Days (1987),Comedy|Drama,False
751061,3108,1227,5,969495363,M,50,6,22039,Once Upon a Time in America (1984),Crime|Drama|Thriller,False
821497,4771,2674,4,993357489,F,25,4,04101,"Loss of Sexual Innocence, The (1999)",Drama,False
59763,3182,1246,3,968774864,M,25,12,12866,Dead Poets Society (1989),Drama,False
247985,1130,6,4,977862073,M,18,7,60012,Heat (1995),Action|Crime|Thriller,False
185012,1882,1394,2,974702738,M,35,16,92352,Raising Arizona (1987),Comedy,False
657981,1496,2143,3,974752868,M,25,17,94108,Legend (1985),Adventure|Fantasy|Romance,False
957939,3301,147,3,968215777,F,25,2,85719,"Basketball Diaries, The (1995)",Drama,False
863177,2102,3251,1,974657234,M,25,11,48825,Agnes of God (1985),Drama|Mystery,False
782454,1448,2420,5,976125443,F,25,3,17522,"Karate Kid, The (1984)",Drama,False
911992,92,3882,2,986186527,F,18,4,44243,Bring It On (2000),Comedy,False
426865,169,1257,3,977174785,M,25,7,55439,Better Off Dead... (1985),Comedy,False
224511,1497,1240,5,974749925,M,50,5,80220,"Terminator, The (1984)",Action|Sci-Fi|Thriller,False
400625,3637,3160,1,966489242,M,25,6,94127,Magnolia (1999),Drama,False
669906,2629,3635,4,973630125,M,25,11,15237,"Spy Who Loved Me, The (1977)",Action,False
213950,533,1214,5,976207278,M,25,12,27514,Alien (1979),Action|Horror|Sci-Fi|Thriller,False
988731,1925,1598,2,1025965859,M,50,7,92886,Desperate Measures (1998),Crime|Drama|Thriller,False
106843,2145,1873,5,974627359,M,18,10,32750,"Misérables, Les (1998)",Drama,False
828981,5046,2467,4,962499379,M,25,16,60614,"Name of the Rose, The (1986)",Mystery,False
254741,2896,377,4,971997084,M,18,14,60073,Speed (1994),Action|Romance|Thriller,False
986732,5832,2062,3,957887003,F,25,0,78240,"Governess, The (1998)",Drama|Romance,False
193393,3729,1291,5,967404716,M,18,4,20037,Indiana Jones and the Last Crusade (1989),Action|Adventure,False
946586,911,2099,4,975269594,M,50,0,98226,Song of the South (1946),Adventure|Animation|Children's|Musical,False
424942,3999,1252,4,965962146,M,35,17,30701,Chinatown (1974),Film-Noir|Mystery|Thriller,False
267038,1707,3163,5,974876809,M,50,1,95070,Topsy-Turvy (1999),Drama,False
455411,5614,750,5,959132007,M,25,0,12833,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,False
999767,1470,1787,2,974838954,M,18,4,94118,"Paralyzing Fear: The Story of Polio in America, A (1998)",Documentary,False
172642,2114,2006,4,974649969,M,18,18,21740,"Mask of Zorro, The (1998)",Action|Adventure|Romance,False
499958,1980,2424,4,974773054,M,35,7,06460,You've Got Mail (1998),Comedy|Romance,False
864481,4828,1821,3,962905820,F,18,20,60194,"Object of My Affection, The (1998)",Comedy|Romance,False
227606,5015,2987,5,962584884,M,35,6,92672,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,False
693561,2526,1340,4,974065457,M,56,13,37923,Bride of Frankenstein (1935),Horror,False
488589,5099,1020,3,962367553,M,18,0,02780,Cool Runnings (1993),Comedy,False
166573,3018,1385,4,970522389,M,35,0,45242,Under Siege (1992),Action,False
190009,224,2997,4,976831757,F,18,4,14850,Being John Malkovich (1999),Comedy,False
36327,48,1907,4,978013385,M,25,4,92107,Mulan (1998),Animation|Children's,False
759474,1002,2352,5,976335759,M,50,11,07043,"Big Chill, The (1983)",Comedy|Drama,False
745264,4972,1965,4,962607215,M,35,0,95118,Repo Man (1984),Comedy|Sci-Fi,False
391624,5256,282,3,961273691,M,25,16,30269,Nell (1994),Drama,False
769911,3300,1285,5,968035879,M,35,5,19119,Heathers (1989),Comedy,False
818032,2251,3018,5,974597142,M,35,14,60626,Re-Animator (1985),Horror,False
433577,3526,153,3,966905569,M,35,2,62263-3004,Batman Forever (1995),Action|Adventure|Comedy|Crime,False
571775,5831,2539,3,981657812,M,25,1,92120,Analyze This (1999),Comedy,False
830682,3367,2612,5,970080820,M,50,16,10025,Mildred Pierce (1945),Drama,False
877848,4271,170,1,965309873,M,35,7,83405,Hackers (1995),Action|Crime|Thriller,False
379945,2025,555,2,974672077,M,56,13,03440,True Romance (1993),Action|Crime|Romance,False
515913,59,969,4,977934623,F,50,1,55413,"African Queen, The (1951)",Action|Adventure|Romance|War,False
721637,5225,1037,3,961519815,M,18,4,55120,"Lawnmower Man, The (1992)",Action|Sci-Fi|Thriller,False
953746,770,20,2,976184516,M,18,4,98499,Money Train (1995),Action,False
374790,5605,3250,3,988477305,F,18,2,95008,Alive (1993),Drama,False
258557,5177,1912,4,961858258,M,45,14,30005,Out of Sight (1998),Action|Crime|Romance,False
831299,1211,1835,1,976218518,M,18,4,10027,City of Angels (1998),Romance,False
745608,3292,2409,4,968099502,F,50,6,79410,Rocky II (1979),Action|Drama,False
511549,1403,1200,2,974764199,F,25,0,53713,Aliens (1986),Action|Sci-Fi|Thriller|War,False
830315,4222,1231,4,965314906,F,45,17,55976,"Right Stuff, The (1983)",Drama,False
547442,4521,2105,3,964835698,M,35,12,15202,Tron (1982),Action|Adventure|Fantasy|Sci-Fi,False
31432,1019,1721,1,1002306940,M,35,1,60640,Titanic (1997),Drama|Romance,False
776024,2820,852,2,972669361,F,35,0,02138,Tin Cup (1996),Comedy|Romance,False
386740,1306,2329,5,1016778701,M,25,3,64068,American History X (1998),Drama,False
786044,767,2875,5,975447913,M,25,12,45241,Sommersby (1993),Drama|Mystery|Romance,False
837025,955,3467,5,975212254,F,50,7,94941,Hud (1963),Drama|Western,False
365458,4647,161,2,963966203,M,35,20,80222,Crimson Tide (1995),Drama|Thriller|War,False
586826,2063,1263,5,975797752,M,25,4,43138,"Deer Hunter, The (1978)",Drama|War,False
949850,4213,1992,1,965318375,M,35,7,63125,Child's Play 2 (1990),Horror,False
653404,3589,2052,5,966659700,F,45,0,80010,Hocus Pocus (1993),Children's|Comedy,False
220506,4312,1387,5,965258380,M,25,18,78757,Jaws (1975),Action|Horror,False
850045,3610,3196,1,977888690,M,18,6,30064,Stalag 17 (1953),Drama|War,False
529479,5797,2012,3,958059429,M,25,7,78757,Back to the Future Part III (1990),Comedy|Sci-Fi|Western,False
871966,1503,1971,2,974748897,M,25,12,92688,"Nightmare on Elm Street 4: The Dream Master, A (1988)",Horror,False
346251,5387,1959,2,961191981,F,25,1,45056,Out of Africa (1985),Drama|Romance,False
771554,5000,1298,5,962596509,M,25,4,46254,Pink Floyd - The Wall (1982),Drama|Musical|War,False
844324,225,233,4,976830656,M,25,7,11215,Exotica (1994),Drama,False
186174,1204,3534,3,974843870,M,25,7,95076,28 Days (2000),Comedy,False
382106,3464,3481,3,973282876,F,25,14,78251,High Fidelity (2000),Comedy,False
526166,752,2375,1,997217782,F,25,3,97401,"Money Pit, The (1986)",Comedy,False
305611,1179,2683,2,974856189,M,50,1,91030,Austin Powers: The Spy Who Shagged Me (1999),Comedy,False
634705,4006,2901,3,965550685,M,1,7,48038,Phantasm (1979),Horror|Sci-Fi,False
587465,1329,2572,3,977175421,M,18,14,60194,10 Things I Hate About You (1999),Comedy|Romance,False
718798,2172,3052,3,1014439228,M,18,20,60641,Dogma (1999),Comedy,False
517271,2645,2872,3,973560200,M,25,7,60657,Excalibur (1981),Action|Drama|Fantasy|Romance,False
778454,687,2262,3,975692534,F,25,7,14136,About Last Night... (1986),Comedy|Drama|Romance,False
716301,2641,2671,4,973570274,M,25,6,19428,Notting Hill (1999),Comedy|Romance,False
985098,1836,3622,4,974826415,M,25,0,10016,"Twelve Chairs, The (1970)",Comedy,False
519063,3547,2009,5,966915624,M,35,16,94108,Soylent Green (1973),Sci-Fi|Thriller,False
429402,3768,586,3,966066976,M,25,4,86314,Home Alone (1990),Children's|Comedy,False
116453,5269,3699,4,961168717,M,18,0,37211,Starman (1984),Adventure|Drama|Romance|Sci-Fi,False
68942,2017,2916,4,974673790,M,25,17,35808,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
160376,1422,457,3,985626825,M,35,17,55934,"Fugitive, The (1993)",Action|Thriller,False
905373,4959,2057,3,962638029,M,25,17,23454,"Incredible Journey, The (1963)",Adventure|Children's,False
465307,3432,2094,3,967338088,M,25,12,27410,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi,False
433397,2016,153,4,974675596,F,56,2,20783,Batman Forever (1995),Action|Adventure|Comedy|Crime,False
